Symbol,Security                              ,Nasdaq Sectors        ,GICS Sector           ,GICS Sub-Industry                           ,Headquarters Location                        ,Date first added       ,CIK    ,Founded
J     ,Jacobs Engineering Group              ,Industrials           ,Industrials           ,Construction & Engineering                  ,"Dallas, Texas"                              ,10/26/2007             ,52988  ,1947
RHI   ,Robert Half International             ,Industrials           ,Industrials           ,Human Resource & Employment Services        ,"Menlo Park, California"                     ,12/5/2000              ,315213 ,1948
ROL   ,Rollins                               ,Industrials           ,Industrials           ,Environmental & Facilities Services         ,"Atlanta, Georgia"                           ,10/1/2018              ,84839  ,1948
ADP   ,Automatic Data Processing             ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Roseland, New Jersey"                       ,3/31/1981              ,8670   ,1949
MDT   ,Medtronic                             ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Dublin, Ireland"                            ,10/31/1986             ,1613103,1949
CINF  ,Cincinnati Financial                  ,Financials            ,Financials            ,Property & Casualty Insurance               ,"Fairfield, Ohio"                            ,12/18/1997             ,20286  ,1950
IRM   ,Iron Mountain                         ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Boston, Massachusetts"                      ,1/6/2009               ,1020569,1951
BIO   ,Bio-Rad Laboratories                  ,Health Care           ,Health Care           ,Life Sciences Tools & Services              ,"Hercules, California"                       ,6/22/2020              ,12208  ,1952
ZTS   ,Zoetis                                ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"Parsippany, New Jersey"                     ,6/21/2013              ,1555280,1952
NXPI  ,NXP                                   ,Information Technology,Information Technology,Semiconductors                              ,"Eindhoven, Netherlands"                     ,3/22/2021              ,1413447,1953
APA   ,APA Corporation                       ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Houston, Texas"                             ,7/28/1997              ,6769   ,1954
LEN   ,Lennar                                ,Consumer Discretionary,Consumer Discretionary,Homebuilding                                ,"Miami, Florida"                             ,10/4/2005              ,920760 ,1954
AFL   ,Aflac                                 ,Financials            ,Financials            ,Life & Health Insurance                     ,"Columbus, Georgia"                          ,5/28/1999              ,4977   ,1955
DOV   ,Dover Corporation                     ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Downers Grove, Illinois"                    ,10/31/1985             ,29905  ,1955
PHM   ,PulteGroup                            ,Consumer Discretionary,Consumer Discretionary,Homebuilding                                ,"Atlanta, Georgia"                           ,4/30/1984              ,822416 ,1956
ORLY  ,O'Reilly Automotive                   ,Consumer Discretionary,Consumer Discretionary,Specialty Stores                            ,"Springfield, Missouri"                      ,3/27/2009              ,898173 ,1957
COO   ,The Cooper Companies                  ,Health Care           ,Health Care           ,Health Care Supplies                        ,"San Ramon, California"                      ,9/23/2016              ,711404 ,1958
EW    ,Edwards Lifesciences                  ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Irvine, California"                         ,4/1/2011               ,1099800,1958
KIM   ,Kimco Realty                          ,Real Estate           ,Real Estate           ,Retail REITs                                ,"New Hyde Park, New York"                    ,4/4/2006               ,879101 ,1958
V     ,Visa                                  ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"San Francisco, California"                  ,12/21/2009             ,1403161,1958
WAT   ,Waters Corporation                    ,Health Care           ,Health Care           ,Health Care Distributors                    ,"Milford, Massachusetts"                     ,                       ,1000697,1958
IFF   ,International Flavors & Fragrances    ,Materials             ,Materials             ,Specialty Chemicals                         ,New York City                                ,3/31/1976              ,51253  ,1958 (1889)
GNRC  ,Generac Holdings                      ,Industrials           ,Industrials           ,Electrical Components & Equipment           ,"Waukesha, Wisconsin"                        ,3/22/2021              ,1474735,1959
INFO  ,IHS Markit                            ,Industrials           ,Industrials           ,Research & Consulting Services              ,"London, England"                            ,6/2/2017               ,1598014,1959
L     ,Loews Corporation                     ,Financials            ,Financials            ,Multi-line Insurance                        ,New York City                                ,                       ,60086  ,1959
PKG   ,Packaging Corporation of America      ,Materials             ,Materials             ,Paper Packaging                             ,"Lake Forest, Illinois"                      ,7/26/2017              ,75677  ,1959
DPZ   ,Domino's Pizza                        ,Consumer Discretionary,Consumer Discretionary,Restaurants                                 ,"Ann Arbor, Michigan"                        ,5/12/2020              ,1286681,1960
SEE   ,Sealed Air                            ,Materials             ,Materials             ,Paper Packaging                             ,"Charlotte, North Carolina"                  ,3/4/1957               ,1012100,1960
TDY   ,Teledyne Technologies                 ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Thousand Oaks, California"                  ,6/22/2020              ,1094285,1960
TER   ,Teradyne                              ,Information Technology,Information Technology,Semiconductor Equipment                     ,"North Reading, Massachusetts"               ,9/21/2020              ,97210  ,1960
AVGO  ,Broadcom                              ,Information Technology,Information Technology,Semiconductors                              ,"San Jose, California"                       ,5/8/2014               ,1730168,1961
HUM   ,Humana                                ,Health Care           ,Health Care           ,Managed Health Care                         ,"Louisville, Kentucky"                       ,                       ,49071  ,1961
JBHT  ,JB Hunt                               ,Industrials           ,Industrials           ,Trucking                                    ,"Lowell, Arkansas"                           ,7/1/2015               ,728535 ,1961
VTRS  ,Viatris                               ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"Pittsburgh, Pennsylvania"                   ,4/23/2004              ,1792044,1961
IPG   ,Interpublic Group                     ,Communication Services,Communication Services,Advertising                                 ,New York City                                ,10/1/1992              ,51644  ,1961 (1930)
BR    ,Broadridge Financial Solutions        ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Lake Success, New York"                     ,6/18/2018              ,1383312,1962
FRT   ,Federal Realty Investment Trust       ,Real Estate           ,Real Estate           ,Retail REITs                                ,"Rockville, Maryland"                        ,2/1/2016               ,34903  ,1962
RJF   ,Raymond James Financial               ,Financials            ,Financials            ,Investment Banking & Brokerage              ,"St. Petersburg, Florida"                    ,3/20/2017              ,720005 ,1962
WMT   ,Walmart                               ,Consumer Staples      ,Consumer Staples      ,Hypermarkets & Super Centers                ,"Bentonville, Arkansas"                      ,8/31/1982              ,104169 ,1962
CMCSA ,Comcast                               ,Communication Services,Communication Services,Cable & Satellite                           ,"Philadelphia, Pennsylvania"                 ,11/19/2002             ,1166691,1963
LB    ,L Brands                              ,Consumer Discretionary,Consumer Discretionary,Apparel Retail                              ,"Columbus, Ohio"                             ,9/30/1983              ,701985 ,1963
REG   ,Regency Centers                       ,Real Estate           ,Real Estate           ,Retail REITs                                ,"Jacksonville, Florida"                      ,3/2/2017               ,910606 ,1963
NKE   ,Nike                                  ,Consumer Discretionary,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"       ,"Washington County, Oregon"                  ,11/30/1988             ,320187 ,1964
ADI   ,Analog Devices                        ,Information Technology,Information Technology,Semiconductors                              ,"Norwood, Massachusetts"                     ,10/12/1999             ,6281   ,1965
BBY   ,Best Buy                              ,Consumer Discretionary,Consumer Discretionary,Computer & Electronics Retail               ,"Richfield, Minnesota"                       ,6/29/1999              ,764478 ,1966
ES    ,Eversource Energy                     ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Hartford, Connecticut"                      ,                       ,72741  ,1966
MA    ,Mastercard                            ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Harrison, New York"                         ,7/18/2008              ,1141391,1966
PNR   ,Pentair                               ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Worsley, England"                           ,10/1/2012              ,77360  ,1966
TYL   ,Tyler Technologies                    ,Information Technology,Information Technology,Application Software                        ,"Plano, Texas"                               ,6/22/2020              ,860731 ,1966
AMAT  ,Applied Materials                     ,Information Technology,Information Technology,Semiconductor Equipment                     ,"Santa Clara, California"                    ,3/16/1995              ,6951   ,1967
FAST  ,Fastenal                              ,Industrials           ,Industrials           ,Building Products                           ,"Winona, Minnesota"                          ,9/15/2008              ,815556 ,1967
DGX   ,Quest Diagnostics                     ,Health Care           ,Health Care           ,Health Care Services                        ,"Secaucus, New Jersey"                       ,12/12/2002             ,1022079,1967
RL    ,Ralph Lauren Corporation              ,Consumer Discretionary,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"       ,New York City                                ,2/2/2007               ,1037038,1967
LUV   ,Southwest Airlines                    ,Industrials           ,Industrials           ,Airlines                                    ,"Dallas, Texas"                              ,7/1/1994               ,92380  ,1967
UAL   ,United Airlines                       ,Industrials           ,Industrials           ,Airlines                                    ,"Chicago, Illinois"                          ,9/3/2015               ,100517 ,1967
WRB   ,W. R. Berkley Corporation             ,Financials            ,Financials            ,Property & Casualty Insurance               ,"Greenwich, Connecticut"                     ,12/5/2019              ,11544  ,1967
FIS   ,Fidelity National Information Services,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Jacksonville, Florida"                      ,11/10/2006             ,1136893,1968
HCA   ,HCA Healthcare                        ,Health Care           ,Health Care           ,Health Care Facilities                      ,"Nashville, Tennessee"                       ,1/27/2015              ,860730 ,1968
INTC  ,Intel                                 ,Information Technology,Information Technology,Semiconductors                              ,"Santa Clara, California"                    ,12/31/1976             ,50863  ,1968
USB   ,US Bancorp                            ,Financials            ,Financials            ,Diversified Banks                           ,"Minneapolis, Minnesota"                     ,                       ,36104  ,1968
WM    ,Waste Management                      ,Industrials           ,Industrials           ,Environmental & Facilities Services         ,"Houston, Texas"                             ,                       ,823768 ,1968
AMD   ,Advanced Micro Devices                ,Information Technology,Information Technology,Semiconductors                              ,"Santa Clara, California"                    ,                       ,2488   ,1969
ANSS  ,Ansys                                 ,Information Technology,Information Technology,Application Software                        ,"Canonsburg, Pennsylvania"                   ,6/19/2017              ,1013462,1969
DHR   ,Danaher Corporation                   ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Washington, D.C."                           ,                       ,313616 ,1969
EQR   ,Equity Residential                    ,Real Estate           ,Real Estate           ,Residential REITs                           ,"Chicago, Illinois"                          ,12/3/2001              ,906107 ,1969
GPS   ,Gap                                   ,Consumer Discretionary,Consumer Discretionary,Apparel Retail                              ,"San Francisco, California"                  ,8/31/1986              ,39911  ,1969
LDOS  ,Leidos                                ,Industrials           ,Industrials           ,Diversified Support Services                ,"Reston, Virginia"                           ,8/9/2019               ,1336920,1969
MSCI  ,MSCI                                  ,Financials            ,Financials            ,Financial Exchanges & Data                  ,New York City                                ,4/4/2018               ,1408198,1969
O     ,Realty Income Corporation             ,Real Estate           ,Real Estate           ,Retail REITs                                ,"San Diego, California"                      ,4/7/2015               ,726728 ,1969
SYY   ,Sysco                                 ,Consumer Staples      ,Consumer Staples      ,Food Distributors                           ,"Houston, Texas"                             ,12/31/1986             ,96021  ,1969
ZBRA  ,Zebra Technologies                    ,Information Technology,Information Technology,Electronic Equipment & Instruments          ,"Lincolnshire, Illinois"                     ,12/23/2019             ,877212 ,1969
BXP   ,Boston Properties                     ,Real Estate           ,Real Estate           ,Office REITs                                ,"Boston, Massachusetts"                      ,4/3/2006               ,1037540,1970
WELL  ,Welltower                             ,Real Estate           ,Real Estate           ,Health Care REITs                           ,"Toledo, Ohio"                               ,1/30/2009              ,766704 ,1970
WDC   ,Western Digital                       ,Information Technology,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California"                       ,7/1/2009               ,106040 ,1970
CAH   ,Cardinal Health                       ,Health Care           ,Health Care           ,Health Care Distributors                    ,"Dublin, Ohio"                               ,5/27/1997              ,721371 ,1971
SCHW  ,Charles Schwab Corporation            ,Financials            ,Financials            ,Investment Banking & Brokerage              ,"Westlake, Texas"                            ,6/2/1997               ,316709 ,1971
DVN   ,Devon Energy                          ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Oklahoma City, Oklahoma"                    ,8/30/2000              ,1090012,1971
ESS   ,Essex Property Trust                  ,Real Estate           ,Real Estate           ,Residential REITs                           ,"San Mateo, California"                      ,4/2/2014               ,920522 ,1971
FDX   ,FedEx                                 ,Industrials           ,Industrials           ,Air Freight & Logistics                     ,"Memphis, Tennessee"                         ,12/31/1980             ,1048911,1971
NDAQ  ,Nasdaq                                ,Financials            ,Financials            ,Financial Exchanges & Data                  ,New York City                                ,10/22/2008             ,1120193,1971
PAYX  ,Paychex                               ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Penfield, New York"                         ,                       ,723531 ,1971
RF    ,Regions Financial Corporation         ,Financials            ,Financials            ,Regional Banks                              ,"Birmingham, Alabama"                        ,8/28/1998              ,1281761,1971
SBUX  ,Starbucks                             ,Consumer Discretionary,Consumer Discretionary,Restaurants                                 ,"Seattle, Washington"                        ,                       ,829224 ,1971
VRSK  ,Verisk Analytics                      ,Industrials           ,Industrials           ,Research & Consulting Services              ,"Jersey City, New Jersey"                    ,10/8/2015              ,1442145,1971
CCL   ,Carnival Corporation                  ,Consumer Discretionary,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"            ,"Miami, Florida"                             ,12/22/1998             ,815097 ,1972
DRE   ,Duke Realty Corp                      ,Real Estate           ,Real Estate           ,Industrial REITs                            ,"Indianapolis, Indiana"                      ,7/26/2017              ,783280 ,1972
PENN  ,Penn National Gaming                  ,Consumer Discretionary,Consumer Discretionary,Casinos & Gaming                            ,"Wyomissing, Pennsylvania"                   ,3/22/2021              ,921738 ,1972
PSA   ,Public Storage                        ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Glendale, California"                       ,8/19/2005              ,1393311,1972
UDR   ,UDR                                   ,Real Estate           ,Real Estate           ,Residential REITs                           ,"Highlands Ranch, Colorado"                  ,3/7/2016               ,74208  ,1972
CZR   ,Caesars Entertainment                 ,Consumer Discretionary,Consumer Discretionary,Casinos & Gaming                            ,"Reno, Nevada"                               ,3/22/2021              ,1590895,1973
CBOE  ,Cboe Global Markets                   ,Financials            ,Financials            ,Financial Exchanges & Data                  ,"Chicago, Illinois"                          ,3/1/2017               ,1374310,1973
RE    ,Everest Re                            ,Financials            ,Financials            ,Reinsurance                                 ,"Hamilton, Bermuda"                          ,6/19/2017              ,1095073,1973
MSFT  ,Microsoft                             ,Information Technology,Information Technology,Systems Software                            ,"Redmond, Washington"                        ,6/1/1994               ,789019 ,1975
KLAC  ,KLA Corporation                       ,Information Technology,Information Technology,Semiconductor Equipment                     ,"Milpitas, California"                       ,                       ,319201 ,1975/1977 (1997)
COST  ,Costco                                ,Consumer Staples      ,Consumer Staples      ,Hypermarkets & Super Centers                ,"Issaquah, Washington"                       ,10/1/1993              ,909832 ,1976
JKHY  ,Jack Henry & Associates               ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Monett, Missouri"                           ,11/13/2018             ,779152 ,1976
AAPL  ,Apple                                 ,Information Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California"                      ,11/30/1982             ,320193 ,1977
EXR   ,Extra Space Storage                   ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Salt Lake City, Utah"                       ,1/19/2016              ,1289490,1977
MAA   ,Mid-America Apartments                ,Real Estate           ,Real Estate           ,Residential REITs                           ,"Memphis, Tennessee"                         ,12/2/2016              ,912595 ,1977
ORCL  ,Oracle                                ,Information Technology,Information Technology,Application Software                        ,"Austin, Texas"                              ,8/31/1989              ,1341439,1977
UNH   ,UnitedHealth Group                    ,Health Care           ,Health Care           ,Managed Health Care                         ,"Minnetonka, Minnesota"                      ,7/1/1994               ,731766 ,1977
AVB   ,AvalonBay Communities                 ,Real Estate           ,Real Estate           ,Residential REITs                           ,"Arlington, Virginia[3]"                     ,1/10/2007              ,915912 ,1978
BIIB  ,Biogen                                ,Health Care           ,Health Care           ,Biotechnology                               ,"Cambridge, Massachusetts"                   ,11/13/2003             ,875045 ,1978
DHI   ,D. R. Horton                          ,Consumer Discretionary,Consumer Discretionary,Homebuilding                                ,"Arlington, Texas"                           ,6/22/2005              ,882184 ,1978
HD    ,Home Depot                            ,Consumer Discretionary,Consumer Discretionary,Home Improvement Retail                     ,"Atlanta, Georgia"                           ,3/31/1988              ,354950 ,1978
LH    ,LabCorp                               ,Health Care           ,Health Care           ,Health Care Services                        ,"Burlington, North Carolina"                 ,11/1/2004              ,920148 ,1978
MU    ,Micron Technology                     ,Information Technology,Information Technology,Semiconductors                              ,"Boise, Idaho"                               ,9/27/1994              ,723125 ,1978
TRMB  ,Trimble                               ,Information Technology,Information Technology,Electronic Equipment & Instruments          ,"Sunnyvale, California"                      ,1/21/2021              ,864749 ,1978
AZO   ,AutoZone                              ,Consumer Discretionary,Consumer Discretionary,Specialty Stores                            ,"Memphis, Tennessee"                         ,1/2/1997               ,866787 ,1979
BSX   ,Boston Scientific                     ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Marlborough, Massachusetts[4]"              ,2/24/1995              ,885725 ,1979
CERN  ,Cerner                                ,Health Care           ,Health Care           ,Health Care Technology                      ,"North Kansas City, Missouri"                ,4/30/2010              ,804753 ,1979
DVA   ,DaVita                                ,Health Care           ,Health Care           ,Health Care Facilities                      ,"Denver, Colorado"                           ,7/31/2008              ,927066 ,1979
EXPD  ,Expeditors                            ,Industrials           ,Industrials           ,Air Freight & Logistics                     ,"Seattle, Washington"                        ,10/10/2007             ,746515 ,1979
IT    ,Gartner                               ,Information Technology,Information Technology,IT Consulting & Other Services              ,"Stamford, Connecticut"                      ,4/5/2017               ,749251 ,1979
STX   ,Seagate Technology                    ,Information Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"                            ,7/2/2012               ,1137789,1979
UHS   ,Universal Health Services             ,Health Care           ,Health Care           ,Health Care Facilities                      ,"King of Prussia, Pennsylvania"              ,9/20/2014              ,352915 ,1979
AMGN  ,Amgen                                 ,Health Care           ,Health Care           ,Biotechnology                               ,"Thousand Oaks, California"                  ,1/2/1992               ,318154 ,1980
CSX   ,CSX                                   ,Industrials           ,Industrials           ,Railroads                                   ,"Jacksonville, Florida"                      ,9/30/1967              ,277948 ,1980
DISH  ,Dish Network                          ,Communication Services,Communication Services,Cable & Satellite                           ,"Meridian, Colorado"                         ,3/13/2017              ,1001082,1980
LRCX  ,Lam Research                          ,Information Technology,Information Technology,Semiconductor Equipment                     ,"Fremont, California"                        ,6/29/2012              ,707549 ,1980
NVR   ,NVR                                   ,Consumer Discretionary,Consumer Discretionary,Homebuilding                                ,"Reston, Virginia"                           ,9/26/2019              ,906163 ,1980
VLO   ,Valero Energy                         ,Energy                ,Energy                ,Oil & Gas Refining & Marketing              ,"San Antonio, Texas"                         ,                       ,1035002,1980
ABMD  ,Abiomed                               ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Danvers, Massachusetts"                     ,5/31/2018              ,815094 ,1981
AES   ,AES Corp                              ,Utilities             ,Utilities             ,Independent Power Producers & Energy Traders,"Arlington, Virginia"                        ,10/2/1998              ,874761 ,1981
ROP   ,Roper Technologies                    ,Industrials           ,Industrials           ,Industrial Conglomerates                    ,"Sarasota, Florida"                          ,12/23/2009             ,882835 ,1981
ADBE  ,Adobe                                 ,Information Technology,Information Technology,Application Software                        ,"San Jose, California"                       ,5/5/1997               ,796343 ,1982
ADSK  ,Autodesk                              ,Information Technology,Information Technology,Application Software                        ,"San Rafael, California"                     ,12/1/1989              ,769397 ,1982
CI    ,Cigna                                 ,Health Care           ,Health Care           ,Managed Health Care                         ,"Bloomfield, Connecticut"                    ,6/30/1976              ,1739940,1982
CPRT  ,Copart                                ,Industrials           ,Industrials           ,Diversified Support Services                ,"Dallas, Texas"                              ,7/2/2018               ,900075 ,1982
EA    ,Electronic Arts                       ,Communication Services,Communication Services,Interactive Home Entertainment              ,"Redwood City, California"                   ,7/22/2002              ,712515 ,1982
IQV   ,IQVIA                                 ,Health Care           ,Health Care           ,Life Sciences Tools & Services              ,"Durham, North Carolina"                     ,8/29/2017              ,1478242,1982
NLOK  ,NortonLifeLock                        ,Information Technology,Information Technology,Application Software                        ,"Tempe, Arizona"                             ,3/25/2003              ,849399 ,1982
ROST  ,Ross Stores                           ,Consumer Discretionary,Consumer Discretionary,Apparel Retail                              ,"Dublin, California"                         ,12/21/2009             ,745732 ,1982
VNO   ,Vornado Realty Trust                  ,Real Estate           ,Real Estate           ,Office REITs                                ,New York City                                ,                       ,899689 ,1982
AON   ,Aon                                   ,Financials            ,Financials            ,Insurance Brokers                           ,"London, England"                            ,4/23/1996              ,315293 ,1982 (1919)
D     ,Dominion Energy                       ,Utilities             ,Utilities             ,Electric Utilities                          ,"Richmond, Virginia"                         ,                       ,715957 ,1983
IDXX  ,Idexx Laboratories                    ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Westbrook, Maine"                           ,1/5/2017               ,874716 ,1983
INTU  ,Intuit                                ,Information Technology,Information Technology,Application Software                        ,"Mountain View, California"                  ,12/5/2000              ,896878 ,1983
MXIM  ,Maxim Integrated                      ,Information Technology,Information Technology,Semiconductors                              ,"San Jose, California"                       ,12/3/2018              ,743316 ,1983
PLD   ,Prologis                              ,Real Estate           ,Real Estate           ,Industrial REITs                            ,"San Francisco, California"                  ,7/17/2003              ,1045609,1983
SIVB  ,SVB Financial                         ,Financials            ,Financials            ,Regional Banks                              ,"Santa Clara, California"                    ,3/19/2018              ,719739 ,1983
LUMN  ,Lumen Technologies                    ,Communication Services,Communication Services,Alternative Carriers                        ,"Monroe, Louisiana"                          ,3/25/1999              ,18926  ,1983 (1877)
VZ    ,Verizon Communications                ,Communication Services,Communication Services,Integrated Telecommunication Services       ,New York City                                ,11/30/1983             ,732712 ,1983 (1877)
T     ,AT&T                                  ,Communication Services,Communication Services,Integrated Telecommunication Services       ,"Dallas, Texas"                              ,1983-11-30 (1957-03-04),732717 ,1983 (1885)
CDW   ,CDW                                   ,Information Technology,Information Technology,Technology Distributors                     ,"Lincolnshire, Illinois"                     ,9/23/2019              ,1402057,1984
CNC   ,Centene Corporation                   ,Health Care           ,Health Care           ,Managed Health Care                         ,"St Louis, Missouri"                         ,3/30/2016              ,1071739,1984
CSCO  ,Cisco Systems                         ,Information Technology,Information Technology,Communications Equipment                    ,"San Jose, California"                       ,12/1/1993              ,858877 ,1984
FISV  ,Fiserv                                ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Brookfield, Wisconsin"                      ,4/2/2001               ,798354 ,1984
XLNX  ,Xilinx                                ,Information Technology,Information Technology,Semiconductors                              ,"San Jose, California"                       ,11/8/1999              ,743988 ,1984
NEE   ,NextEra Energy                        ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Juno Beach, Florida"                        ,6/30/1976              ,753308 ,1984 (1925)
ALK   ,Alaska Air Group                      ,Industrials           ,Industrials           ,Airlines                                    ,"Seattle, Washington"                        ,5/13/2016              ,766421 ,1985
MO    ,Altria Group                          ,Consumer Staples      ,Consumer Staples      ,Tobacco                                     ,"Richmond, Virginia"                         ,3/4/1957               ,764180 ,1985
ABC   ,AmerisourceBergen                     ,Health Care           ,Health Care           ,Health Care Distributors                    ,"Chesterbrook, Pennsylvania"                 ,8/30/2001              ,1140859,1985
CB    ,Chubb                                 ,Financials            ,Financials            ,Property & Casualty Insurance               ,"Zurich, Switzerland"                        ,7/15/2010              ,896159 ,1985
DFS   ,Discover Financial Services           ,Financials            ,Financials            ,Consumer Finance                            ,"Riverwoods, Illinois"                       ,7/2/2007               ,1393612,1985
DISCA ,Discovery (Series A)                  ,Communication Services,Communication Services,Broadcasting                                ,New York City                                ,3/1/2010               ,1437107,1985
DISCK ,Discovery (Series C)                  ,Communication Services,Communication Services,Broadcasting                                ,New York City                                ,8/7/2014               ,1437107,1985
FRC   ,First Republic Bank                   ,Financials            ,Financials            ,Regional Banks                              ,"San Francisco, California"                  ,1/2/2019               ,1132979,1985
PEAK  ,Healthpeak Properties                 ,Real Estate           ,Real Estate           ,Health Care REITs                           ,"Long Beach, California"                     ,3/31/2008              ,765880 ,1985
HOLX  ,Hologic                               ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Marlborough, Massachusetts"                 ,3/30/2016              ,859737 ,1985
PNW   ,Pinnacle West Capital                 ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Phoenix, Arizona"                           ,                       ,764622 ,1985
PTC   ,PTC                                   ,Information Technology,Information Technology,Application Software                        ,"Boston, Massachusetts"                      ,4/20/2021              ,857005 ,1985
QCOM  ,Qualcomm                              ,Information Technology,Information Technology,Semiconductors                              ,"San Diego, California"                      ,                       ,804328 ,1985
STE   ,Steris                                ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Dublin, Ireland"                            ,12/23/2019             ,1757898,1985
DLTR  ,Dollar Tree                           ,Consumer Discretionary,Consumer Discretionary,General Merchandise Stores                  ,"Chesapeake, Virginia"                       ,12/19/2011             ,935703 ,1986
MGM   ,MGM Resorts International             ,Consumer Discretionary,Consumer Discretionary,Casinos & Gaming                            ,"Paradise, Nevada"                           ,7/26/2017              ,789570 ,1986
OMC   ,Omnicom Group                         ,Communication Services,Communication Services,Advertising                                 ,New York City                                ,                       ,29989  ,1986
SNPS  ,Synopsys                              ,Information Technology,Information Technology,Application Software                        ,"Mountain View, California"                  ,3/16/2017              ,883241 ,1986
GILD  ,Gilead Sciences                       ,Health Care           ,Health Care           ,Biotechnology                               ,"Foster City, California"                    ,7/1/2004               ,882095 ,1987
TJX   ,TJX Companies                         ,Consumer Discretionary,Consumer Discretionary,Apparel Retail                              ,"Framingham, Massachusetts"                  ,9/30/1985              ,109198 ,1987
BLK   ,BlackRock                             ,Financials            ,Financials            ,Asset Management & Custody Banks            ,New York City                                ,4/4/2011               ,1364742,1988
CDNS  ,Cadence Design Systems                ,Information Technology,Information Technology,Application Software                        ,"San Jose, California"                       ,9/18/2017              ,813672 ,1988
IEX   ,IDEX Corporation                      ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Lake Forest, Illinois"                      ,8/9/2019               ,832101 ,1988
LVS   ,Las Vegas Sands                       ,Consumer Discretionary,Consumer Discretionary,Casinos & Gaming                            ,"Las Vegas, Nevada"                          ,10/3/2019              ,1300514,1988
REGN  ,Regeneron Pharmaceuticals             ,Health Care           ,Health Care           ,Biotechnology                               ,"Tarrytown, New York"                        ,5/1/2013               ,872589 ,1988
ACN   ,Accenture                             ,Information Technology,Information Technology,IT Consulting & Other Services              ,"Dublin, Ireland"                            ,7/6/2011               ,1467373,1989
BMY   ,Bristol-Myers Squibb                  ,Health Care           ,Health Care           ,Health Care Distributors                    ,New York City                                ,3/4/1957               ,14272  ,1989
COG   ,Cabot Oil & Gas                       ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Houston, Texas"                             ,6/23/2008              ,858470 ,1989
CTXS  ,Citrix Systems                        ,Information Technology,Information Technology,Application Software                        ,"Fort Lauderdale, Florida"                   ,12/1/1999              ,877890 ,1989
GRMN  ,Garmin                                ,Consumer Discretionary,Consumer Discretionary,Consumer Electronics                        ,"Schaffhausen, Switzerland"                  ,12/12/2012             ,1121788,1989
MCHP  ,Microchip Technology                  ,Information Technology,Information Technology,Semiconductors                              ,"Chandler, Arizona"                          ,9/7/2007               ,827054 ,1989
RMD   ,ResMed                                ,Health Care           ,Health Care           ,Health Care Equipment                       ,"San Diego, California"                      ,7/26/2017              ,943819 ,1989
SBAC  ,SBA Communications                    ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Boca Raton, Florida"                        ,9/1/2017               ,1034054,1989
VRTX  ,Vertex Pharmaceuticals                ,Health Care           ,Health Care           ,Biotechnology                               ,"Cambridge, Massachusetts"                   ,9/23/2013              ,875320 ,1989
AVY   ,Avery Dennison                        ,Materials             ,Materials             ,Paper Packaging                             ,"Glendale, California"                       ,12/31/1987             ,8818   ,1990
IPGP  ,IPG Photonics                         ,Information Technology,Information Technology,Electronic Manufacturing Services           ,"Oxford, Massachusetts"                      ,3/7/2018               ,1111928,1990
ULTA  ,Ulta Beauty                           ,Consumer Discretionary,Consumer Discretionary,Specialty Stores                            ,"Bolingbrook, Illinois"                      ,4/18/2016              ,1403568,1990
INCY  ,Incyte                                ,Health Care           ,Health Care           ,Biotechnology                               ,"Wilmington, Delaware"                       ,2/28/2017              ,879169 ,1991
